Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Chambres;Nombre de Salles de Bain;Etage;Terrasse;Garage;Ascenseur;Piscine;Securite
agadir;hay mohammadi;2300000.0;appartement;150.0;3.0;3.0;1.0;0;1;1;0;0
agadir;hay dakhla;870000.0;appartement;83.0;2.0;2.0;2.0;0;1;0;0;0
agadir;illigh;8000000.0;terrain;1600.0;0.0;0.0;0.0;0;0;0;0;0
agadir;illigh;9850000.0;riad;652.0;7.0;6.0;0.0;1;1;0;1;1
agadir;hay hassani;1350000.0;appartement;87.0;2.0;2.0;2.0;1;1;1;1;1
agadir;hay houda;2100000.0;appartement;92.0;7.0;4.0;3.0;1;0;0;0;1
agadir;haut anza;750000.0;terrain;110.0;0.0;0.0;0.0;0;0;0;0;0
agadir;secteur touristique;570000.0;terrain;500.0;0.0;0.0;0.0;0;0;0;0;0
agadir;amsernate;13500.0;terrain;437.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay houda;880000.0;appartement;73.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay salam;770000.0;appartement;77.0;2.0;2.0;3.0;0;0;1;0;0
agadir;hay houda;950000.0;appartement;75.0;2.0;2.0;3.0;0;1;1;0;1
agadir;abattoirs;854000.0;local commercial;61.0;0.0;1.0;0.0;0;0;0;0;0
agadir;siusse;6000000.0;appartement;500.0;3.0;2.0;3.0;0;1;0;0;0
agadir;tilila;1350000.0;appartement;133.0;3.0;2.0;4.0;1;0;1;0;0
agadir;founti;2000000.0;appartement;93.0;2.0;1.0;3.0;1;1;0;1;1
agadir;founti;6500000.0;terrain;730.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay al farah;2200000.0;villa;164.0;1.0;1.0;0.0;0;0;0;0;0
agadir;hay mohammadi;2000000.0;appartement;197.0;3.0;2.0;3.0;1;1;0;0;1
agadir;taddart anza;1700000.0;maison;111.0;3.0;2.0;0.0;1;1;0;0;0
agadir;tilila;3900000.0;villa;150.0;4.0;2.0;0.0;1;1;0;0;0
agadir;cit adrar;740000.0;appartement;72.0;2.0;1.0;3.0;0;0;1;1;0
agadir;hay dakhla;650000.0;appartement;40.0;1.0;1.0;2.0;0;0;1;0;0
agadir;haut anza;820000.0;appartement;89.0;2.0;1.0;1.0;1;0;0;0;0
agadir;hay mohammadi;760000.0;appartement;60.0;2.0;2.0;3.0;0;0;0;0;0
agadir;haut founty;10000000.0;terrain;311.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;2600000.0;villa;200.0;5.0;2.0;0.0;0;0;0;0;0
agadir;hay salam;700000.0;appartement;67.0;2.0;2.0;3.0;0;0;1;0;1
agadir;haut founty;34000000.0;terrain;6700.0;0.0;0.0;0.0;0;0;0;0;0
agadir;tilila;2450000.0;terrain;200.0;0.0;0.0;0.0;0;0;0;0;0
agadir;tilila;2300000.0;terrain;200.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;520000.0;appartement;60.0;2.0;1.0;2.0;0;0;0;0;0
agadir;amsernate;830000.0;appartement;65.0;3.0;2.0;1.0;1;0;1;0;1
agadir;haut founty;745000.0;bureau;52.0;0.0;1.0;3.0;0;0;0;0;0
agadir;founti;5500000.0;villa;266.0;4.0;2.0;0.0;1;0;0;0;0
agadir;haut founty;6700000.0;terrain;283.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay salam;480000.0;appartement;44.0;1.0;1.0;3.0;1;0;1;0;1
agadir;hay salam;850000.0;appartement;72.0;2.0;2.0;5.0;1;0;0;0;1
agadir;al wifaq;4320000.0;terrain;240.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;9500000.0;appartement;120.0;4.0;1.0;7.0;0;0;1;0;0
agadir;riad salam;750000.0;appartement;73.0;2.0;2.0;3.0;0;0;0;0;0
agadir;hay mohammadi;1900000.0;appartement;172.0;3.0;2.0;1.0;1;0;1;0;1
agadir;lekhiam;16500.0;local commercial;90.0;0.0;1.0;0.0;0;0;0;0;0
agadir;haut founty;1700000.0;appartement;98.0;2.0;2.0;3.0;0;1;1;0;0
agadir;founti;2000000.0;appartement;109.0;2.0;2.0;2.0;1;1;1;0;1
agadir;founti;7300000.0;villa;344.0;5.0;4.0;0.0;1;1;0;1;1
agadir;hay mohammadi;1050000.0;appartement;98.0;2.0;2.0;2.0;1;0;1;1;1
agadir;cit adrar;480000.0;appartement;54.0;3.0;1.0;2.0;0;0;0;0;0
agadir;hay houda;1450000.0;appartement;123.0;2.0;2.0;3.0;1;1;0;0;0
agadir;hay mohammadi;1588000.0;appartement;129.0;3.0;3.0;9.0;1;0;1;0;1
agadir;ben serguaou;3950000.0;villa;340.0;4.0;2.0;0.0;1;1;0;1;1
agadir;founti;1900000.0;appartement;89.0;2.0;2.0;3.0;1;1;1;1;0
agadir;founti;1800000.0;bureau;77.0;0.0;1.0;3.0;0;0;1;0;1
agadir;tilila;990000.0;appartement;43.0;3.0;2.0;1.0;0;0;1;0;0
agadir;hay salam;540000.0;appartement;60.0;3.0;1.0;4.0;0;0;0;0;0
agadir;hay salam;590000.0;appartement;74.0;2.0;1.0;4.0;1;0;0;0;0
agadir;al wifaq;3900000.0;villa;220.0;4.0;3.0;0.0;1;0;0;0;1
agadir;hay najah;4000000.0;villa;205.0;5.0;4.0;0.0;1;1;0;0;1
agadir;hay mohammadi;2000000.0;appartement;191.0;3.0;2.0;3.0;1;1;1;0;1
agadir;hay dakhla;1300000.0;appartement;140.0;3.0;1.0;2.0;1;0;1;0;0
agadir;hay salam;400000.0;appartement;53.0;2.0;1.0;4.0;1;1;0;0;1
agadir;hay salam;760000.0;appartement;87.0;2.0;2.0;5.0;0;0;1;0;0
agadir;hay dakhla;1800000.0;maison;108.0;3.0;2.0;0.0;1;1;0;0;0
agadir;illigh;14000000.0;terrain;3000.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay qods;650000.0;appartement;57.0;3.0;2.0;2.0;0;0;0;0;0
agadir;al wifaq;560000.0;appartement;58.0;2.0;2.0;3.0;0;0;0;0;0
agadir;port;4650000.0;appartement;270.0;2.0;2.0;4.0;1;1;1;0;1
agadir;siusse;6800000.0;villa;533.0;3.0;2.0;0.0;0;0;0;0;0
agadir;secteur touristique;4060000.0;appartement;118.0;2.0;2.0;3.0;0;0;1;1;1
agadir;hay zaytoun;1890000.0;villa;80.0;2.0;1.0;0.0;1;0;0;1;1
agadir;hay mohammadi;1150000.0;appartement;95.0;2.0;2.0;4.0;1;0;0;0;0
agadir;hay salam;3400000.0;local commercial;183.0;0.0;2.0;0.0;0;0;0;0;1
agadir;hay salam;700000.0;appartement;67.0;3.0;2.0;3.0;0;1;1;0;0
agadir;taddart;7500000.0;local commercial;158.0;0.0;2.0;0.0;0;1;1;0;1
agadir;hay mohammadi;1200000.0;appartement;83.0;2.0;2.0;3.0;0;0;0;0;0
agadir;anza;1390000.0;appartement;80.0;2.0;2.0;3.0;1;1;1;0;1
agadir;hay salam;700000.0;appartement;74.0;2.0;1.0;3.0;0;0;1;0;0
agadir;hay mohammadi;8500000.0;appartement;66.0;2.0;1.0;1.0;0;0;0;0;0
agadir;amsernate;800000.0;appartement;72.0;2.0;1.0;4.0;0;0;0;0;0
agadir;hay houda;940000.0;appartement;80.0;2.0;1.0;2.0;0;0;1;0;0
agadir;cit adrar;760000.0;appartement;77.0;2.0;2.0;5.0;0;1;1;1;0
agadir;abattoirs;980000.0;appartement;80.0;2.0;1.0;3.0;0;1;1;0;1
agadir;haut anza;820000.0;appartement;89.0;2.0;1.0;1.0;1;0;0;0;0
agadir;hay dakhla;3285000.0;terrain;219.0;0.0;0.0;0.0;0;0;0;0;0
agadir;tilila;2100000.0;maison;112.0;6.0;3.0;0.0;1;0;0;0;0
agadir;zone industrielle agadir;13800000.0;terrain;745.0;0.0;0.0;0.0;0;0;0;0;0
agadir;ville nouvelle;2500000.0;appartement;130.0;2.0;2.0;3.0;0;0;0;0;0
agadir;secteur touristique;7800000.0;villa;500.0;4.0;4.0;0.0;1;1;0;1;1
agadir;hay dakhla;1000000.0;appartement;113.0;2.0;2.0;3.0;1;0;0;0;0
agadir;hay mohammadi;800000.0;terrain;75.0;0.0;0.0;0.0;0;0;0;0;0
agadir;riad salam;1772000.0;appartement;96.0;2.0;1.0;3.0;1;1;1;0;1
agadir;port;3800000.0;appartement;97.0;2.0;2.0;2.0;0;0;0;0;0
agadir;illigh;8200000.0;terrain;1601.0;0.0;0.0;0.0;0;0;0;0;0
agadir;secteur touristique;1570000.0;villa;100.0;3.0;2.0;0.0;1;1;0;0;0
agadir;anza;1200000.0;local commercial;53.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay salam;780000.0;appartement;58.0;2.0;1.0;2.0;1;1;1;0;1
agadir;hay mohammadi;4500000.0;villa;240.0;4.0;7.0;0.0;1;1;0;0;0
agadir;hay houda;900000.0;appartement;82.0;3.0;1.0;2.0;1;0;0;0;0
agadir;riad salam;700000.0;appartement;74.0;2.0;1.0;3.0;1;0;0;0;0
agadir;hay mohammadi;840000.0;appartement;76.0;2.0;2.0;3.0;1;0;1;0;1
agadir;tilila;950000.0;appartement;100.0;2.0;2.0;2.0;0;1;0;0;1
agadir;hay hassani;600000.0;bureau;57.0;0.0;1.0;3.0;0;0;1;0;0
agadir;founti;1850000.0;appartement;86.0;2.0;2.0;2.0;1;0;1;1;1
agadir;al wifaq;1400000.0;local commercial;27.0;0.0;1.0;0.0;0;0;0;0;1
agadir;illigh;4800000.0;villa;270.0;4.0;4.0;0.0;1;1;0;0;1
agadir;talborjt;2660000.0;appartement;111.0;2.0;2.0;3.0;0;1;1;0;1
agadir;siusse;4800000.0;villa;350.0;4.0;2.0;0.0;1;1;0;0;0
agadir;abattoirs;3950000.0;villa;300.0;5.0;3.0;0.0;1;1;0;1;1
